 0,44     0,34     0,28     0,18     0,58    -0,95     0,07    
-0,63    -0,61    -0,07    -0,51    -0,60    -0,22    -1,16    
-0,74    -0,65    -0,21    -0,53    -0,89    -0,29    -0,18    
 0,46     0,46     0,14     0,45     0,42    -1,86    -0,20    
 1,75     1,80     0,04     2,30     1,29    -0,30     2,28    
-0,02    -0,03     0,11     0,06     0,08    -0,39    -0,20    
 1,41     1,47     0,04     1,80     0,97     0,91     1,90    
 1,85     1,79     0,18     1,51     1,80     1,46     1,56    
 1,27     1,27     0,15     1,15     1,06    -1,30     0,97    
-1,20    -1,15    -0,32    -1,00    -1,29     0,23    -0,29    
-1,39    -1,24    -0,59    -0,69    -1,56     1,17    -0,43    
-0,77    -0,68    -0,22    -0,48    -0,89    -0,26    -0,35    
-0,16    -0,13     0,02    -0,13    -0,27    -1,48    -0,22    
 2,01     2,04     0,05     2,09     1,42     0,50     2,08    
 1,14     1,30    -0,07     1,41     0,65    -0,56     1,72    
 1,33     1,36     0,10     1,30     1,09    -1,00     1,37    
-1,06    -0,79    -0,61    -0,41    -1,49     0,45    -0,20    
-1,41    -1,40    -0,37    -1,06    -1,58     0,66    -0,89    
 0,86     0,92     0,07     1,14     0,81    -0,12     1,12    
 0,66     0,81    -0,07     0,66     0,46     0,81     0,77    
-0,75    -0,95     0,26    -1,42    -0,32    -0,93    -1,32    
 0,01     0,01     0,10    -0,16     0,19    -1,78    -0,90    
-0,09    -0,21     0,28    -0,61     0,19     0,32    -1,25    
 1,60     1,64     0,07     1,62     1,39    -0,49     1,55    
 0,07     0,09     0,07     0,18     0,18    -1,04    -0,10    
 0,61     0,69     0,04     0,93     0,53    -1,10     0,93    
-0,74    -0,88     0,16    -0,98    -0,43     3,16    -0,81    
 0,18     0,08     0,27    -0,33     0,53    -0,07     0,06    
 2,18     2,02     0,27     2,08     1,98     1,38     1,64    
-0,81    -0,84    -0,05    -0,80    -0,75     0,48    -0,81    
-0,97    -0,94    -0,20    -0,61    -1,15     0,38    -0,20    
-0,79    -0,76    -0,15    -0,65    -0,74     0,48    -0,46    
-0,93    -0,63    -0,61    -0,52    -1,31     0,75    -0,37    
-0,82    -0,88     0,00    -0,86    -0,62     0,85    -0,52    
-0,71    -0,79     0,07    -0,89    -0,52     1,18    -0,90    
 1,18     1,17     0,16     1,20     1,00    -0,83     1,57    
 1,21     1,50    -0,25     2,28     0,58     0,82     2,07    
-0,48    -0,41    -0,10    -0,25    -0,50    -0,11    -0,62    
-1,04    -0,89    -0,42    -0,69    -1,23     0,51    -0,46    
-1,27    -1,35    -0,15    -1,36    -1,19     1,78    -0,72    
-0,89    -0,73    -0,37    -0,49    -1,09     0,70    -0,10    
 1,13     1,19     0,06     0,95     0,78    -0,05     1,20    
-1,20    -1,29    -0,11    -1,27    -1,05    -0,23    -0,81    
 1,39     1,28     0,29     1,32     1,31    -0,04     1,11    
-1,26    -1,15    -0,44    -0,83    -1,49     1,40    -0,38    
-0,96    -0,88    -0,29    -0,80    -1,05     0,85    -0,72    
 0,02    -0,10     0,29    -0,54     0,39    -1,70    -0,64    
-0,90    -0,95    -0,06    -0,89    -0,75     1,17    -0,37    
 0,05     0,00     0,17    -0,13     0,30    -0,49    -0,46    
-0,91    -0,83    -0,25    -0,60    -0,94    -1,35    -0,46    
-1,38    -1,32    -0,44    -0,99    -1,61     0,77    -0,64    
-0,51    -0,59     0,14    -0,68    -0,33     0,64    -0,63    
 1,62     1,66     0,07     1,66     1,31    -1,48     1,72    
 0,55     0,53     0,17     0,56     0,63    -1,15     0,25    
 1,45     1,44     0,14     1,73     1,18    -0,96     1,51    
 1,46     1,30     0,36     1,16     1,72    -0,51     1,34    
 0,06     0,15    -0,05     0,35    -0,03    -1,27    -0,81    
-0,19    -0,36     0,33    -0,74     0,20    -0,66    -1,16    
 1,53     1,55     0,10     1,57     1,41    -0,15     1,65    
 0,25     0,45    -0,18     0,64    -0,07    -0,70     0,94    
-0,29    -0,56     0,46    -1,12     0,32     1,02    -1,25    
-0,95    -1,01    -0,04    -1,17    -0,83    -1,52    -0,89    
 1,41     1,34     0,23     1,13     1,45    -0,53     1,08    
 0,06     0,16    -0,05     0,16    -0,12    -1,17     0,06    
 1,23     1,08     0,36     0,77     1,31    -0,48     0,99    
-0,11     0,03    -0,15     0,25    -0,37    -1,47     0,16    
 1,48     1,44     0,18     1,36     1,42    -0,41     1,55    
 0,54     0,53     0,15     0,20     0,68     0,34     0,42    
 0,96     0,99     0,09     0,89     0,80     0,03     1,04    
 1,34     1,24     0,28     1,06     1,56     0,32     1,16    
-0,58    -0,56    -0,05    -0,38    -0,73    -1,89    -0,70    
-0,71    -0,76     0,01    -0,81    -0,60    -1,68    -1,25    
-1,04    -1,01    -0,21    -0,80    -1,07     0,99    -0,20    
-0,14    -0,12     0,04    -0,10     0,03     0,18    -0,53    
-1,04    -0,85    -0,50    -0,47    -1,39     0,79    -0,11    
-0,26    -0,11    -0,18     0,19    -0,19     0,15    -0,22    
-1,18    -1,30    -0,03    -1,37    -1,05    -0,66    -1,60    
-0,31    -0,30     0,02    -0,10    -0,28    -1,05    -0,79    
 1,82     1,89     0,02     1,95     1,32    -1,19     1,55    
 0,22     0,23     0,11     0,55     0,35     0,67     0,24    
 0,46     0,54     0,02     0,43     0,53    -0,58     0,24    
-1,18    -1,13    -0,33    -1,08    -1,27     1,25    -0,64    
 1,84     1,78     0,18     1,45     1,55     0,98     1,55    
-0,25    -0,29     0,11    -0,19    -0,10    -0,63    -0,74    
 0,00     0,08    -0,03     0,11     0,00    -1,04    -0,11    
 0,85     1,03    -0,11     0,96     0,37     0,08     1,02    
-1,24    -1,28    -0,19    -1,08    -1,19     0,41    -0,81    
-0,73    -0,62    -0,25    -0,48    -0,96    -0,11    -0,68    
 1,47     1,57     0,01     1,39     1,22     1,98     1,29    
-0,52    -0,47    -0,09    -0,53    -0,47     1,52    -0,20    
-0,05    -0,27     0,43    -0,93     0,53    -1,28    -1,51    
 0,96     1,08    -0,04     1,24     0,77     0,25     1,30    
-0,33    -0,41     0,17    -0,42    -0,15     0,19    -1,34    
-1,16    -1,15    -0,23    -0,99    -1,28     1,44    -0,81    
 1,39     1,30     0,25     1,00     1,29    -1,36     1,40    
-0,94    -0,83    -0,31    -1,03    -0,58    -1,46    -1,77    
-0,25    -0,23     0,01    -0,24    -0,23    -0,67    -0,38    
-0,85    -0,83    -0,14    -0,93    -0,76     0,15    -0,81    
-0,68    -0,81     0,16    -1,08    -0,36    -0,89    -1,60    
 1,47     1,34     0,32     1,22     1,65    -1,06     1,03    
 1,08     0,99     0,28     0,77     1,10    -0,96     1,02    
-1,23    -1,18    -0,35    -0,97    -1,40     1,08    -0,63    
 0,22     0,29     0,01     0,28     0,29    -0,19    -0,36    
-1,35    -1,34    -0,33    -1,19    -1,49     0,32    -0,90    
 1,34     1,25     0,27     1,20     1,38    -0,39     1,29    
-0,02    -0,03     0,11    -0,18     0,08    -0,66    -0,59    
 0,14     0,22    -0,01     0,19    -0,04     0,56    -0,19    
 0,18     0,16     0,14     0,07     0,41    -1,13    -0,37    
 1,37     1,23     0,34     1,15     1,40    -0,57     1,58    
 1,08     0,99     0,27     0,58     1,11    -1,08     0,86    
-0,17    -0,14     0,02     0,00    -0,18    -1,58    -0,51    
 2,10     2,05     0,15     2,06     1,87     0,65     1,81    
 1,29     1,14     0,35     0,90     1,54     1,53     0,93    
-0,94    -0,98    -0,07    -0,86    -0,73     0,29    -0,79    
-0,12     0,04    -0,17     0,19    -0,37     0,28    -0,02    
-0,83    -0,74    -0,24    -0,68    -0,93     0,81    -0,28    
-0,85    -1,05     0,21    -1,22    -0,55    -0,32    -1,60    
-0,35    -0,47     0,24    -0,67     0,31    -0,96    -1,20    
-1,24    -1,19    -0,34    -1,19    -1,39    -0,12    -0,64    
-0,05    -0,05     0,09    -0,14     0,00    -0,08    -0,38    
-1,24    -1,33    -0,11    -1,19    -1,12     2,54    -0,90    
-1,39    -1,52    -0,12    -1,43    -1,12     0,71    -0,69    
 0,45     0,63    -0,12     0,29     0,33     0,39     0,59    
-0,13    -0,16     0,11    -0,53     0,30    -0,60    -0,73    
-1,15    -1,02    -0,44    -0,71    -1,44     1,12    -0,20    
 1,19     1,02     0,39     0,77     1,27    -0,57     1,10    
-0,38    -0,39     0,03    -0,32    -0,37    -0,51    -1,16    
 1,41     1,25     0,36     0,93     1,63     0,42     0,68    
-1,46    -1,64    -0,06    -1,61    -1,21     0,85    -1,22    
-1,13    -0,95    -0,50    -0,58    -1,47     0,24    -0,45    
 1,31     1,41    -0,01     1,45     0,86     0,46     1,38    
 0,44     0,33     0,32     0,06     0,78    -1,56    -0,46    
 0,35     0,26     0,27    -0,02     0,64    -1,95    -0,63    
 0,29     0,15     0,34    -0,22     0,65    -1,39    -0,72    
-0,37    -0,38     0,05    -0,33    -0,26    -0,37    -1,07    
-1,25    -1,09    -0,53    -0,77    -1,46     1,64    -0,27    
 2,07     1,90     0,31     1,81     1,98     0,87     1,82    
-0,29    -0,21    -0,08    -0,04    -0,26    -0,98    -0,55    
 1,41     1,42     0,12     1,36     1,27    -0,22     1,48    
 1,78     1,79     0,10     1,90     1,53    -0,42     1,82    
-1,26    -1,16    -0,43    -0,90    -1,45    -0,24    -0,81    
-0,85    -0,85    -0,10    -0,90    -0,69     1,18    -0,72    
-1,23    -1,21    -0,28    -1,19    -1,27     0,40    -0,81    
-1,02    -1,18     0,08    -1,09    -0,78    -0,07    -0,55    
 0,32     0,27     0,21     0,10     0,45     1,26    -0,54    
 0,68     0,73     0,07     0,86     0,58     0,20     0,86    
-0,25    -0,35     0,20    -0,46     0,11    -0,66    -0,81    
-1,26    -1,40    -0,03    -1,36    -1,15     0,23    -1,16    
-0,45    -0,54     0,16    -0,62    -0,26    -0,74    -0,46    
-0,52    -0,47    -0,09    -0,19    -0,48     2,21     0,06    
-0,24    -0,12    -0,12     0,06    -0,33    -0,42    -0,46    
-1,20    -1,10    -0,41    -1,00    -1,51     0,42    -0,55    
-1,24    -1,47     0,13    -1,60    -0,97    -0,95    -1,41    
-0,36    -0,40     0,08    -0,56    -0,27    -1,42    -0,89    
-0,58    -0,77     0,29    -1,08    -0,15    -0,82    -1,25    
 1,37     1,32     0,20     0,90     1,35    -0,76     0,94    
-0,97    -0,79    -0,45    -0,49    -1,24     2,18    -0,28    
 1,42     1,54    -0,02     1,81     0,75    -1,03     2,08    
 1,36     1,32     0,19     1,42     1,11    -0,31     1,29    
 0,93     0,84     0,27     0,36     1,10     1,11     0,50    
-0,61    -0,49    -0,22    -0,34    -0,68     1,06    -0,03    
-0,18    -0,21     0,12    -0,27    -0,15    -0,25    -0,37    
